URL,Date
https://www.uselessthingstobuy.com/product/porn-for-women/,"Mon, 29 Apr 2019 13:55:10 +0000"
https://www.uselessthingstobuy.com/product/william-shakespeares-star-wars-trilogy/,"Mon, 29 Apr 2019 18:14:42 +0000"
https://www.uselessthingstobuy.com/product/sleeping-bag-suit/,"Mon, 29 Apr 2019 18:39:15 +0000"
https://www.uselessthingstobuy.com/product/because-kids-wine-glass/,"Tue, 30 Apr 2019 17:48:07 +0000"
https://www.uselessthingstobuy.com/product/dad-coloring-book/,"Tue, 30 Apr 2019 17:56:18 +0000"
https://www.uselessthingstobuy.com/product/im-a-cool-mom-mean-girl-mug/,"Tue, 30 Apr 2019 18:04:10 +0000"
https://www.uselessthingstobuy.com/product/the-worlds-okayest-mom-tote-bag/,"Tue, 30 Apr 2019 18:14:20 +0000"
https://www.uselessthingstobuy.com/product/three-martini-playdate-book/,"Tue, 30 Apr 2019 18:20:24 +0000"
https://www.uselessthingstobuy.com/product/fifty-shades-of-chicken/,"Tue, 30 Apr 2019 18:27:15 +0000"
https://www.uselessthingstobuy.com/product/parenting-is-easy-book/,"Tue, 30 Apr 2019 18:31:53 +0000"
https://www.uselessthingstobuy.com/product/adult-achievement-stickers/,"Tue, 30 Apr 2019 18:37:38 +0000"
https://www.uselessthingstobuy.com/product/the-hunk-pool-float/,"Tue, 30 Apr 2019 18:42:03 +0000"
https://www.uselessthingstobuy.com/product/bow-tie-pasta-necklace/,"Tue, 30 Apr 2019 18:48:40 +0000"
https://www.uselessthingstobuy.com/product/crazy-cat-lady-box-action-figure/,"Tue, 30 Apr 2019 18:58:27 +0000"
https://www.uselessthingstobuy.com/product/motion-sensor-purse-light/,"Tue, 30 Apr 2019 19:03:43 +0000"
https://www.uselessthingstobuy.com/product/hair-clip-multi-tool-set/,"Tue, 30 Apr 2019 19:09:47 +0000"
https://www.uselessthingstobuy.com/product/trump-toilet-brush-set/,"Tue, 30 Apr 2019 19:16:50 +0000"
https://www.uselessthingstobuy.com/product/owl-vomit/,"Tue, 30 Apr 2019 19:23:38 +0000"
https://www.uselessthingstobuy.com/product/funny-cross-stitch-quotes/,"Tue, 30 Apr 2019 19:33:31 +0000"
https://www.uselessthingstobuy.com/product/star-wars-tape-dispenser/,"Tue, 30 Apr 2019 19:39:44 +0000"
https://www.uselessthingstobuy.com/product/fake-wolf-tattoo/,"Tue, 30 Apr 2019 20:52:19 +0000"
https://www.uselessthingstobuy.com/product/the-worlds-smallest-violin/,"Tue, 30 Apr 2019 21:06:06 +0000"
https://www.uselessthingstobuy.com/product/yoda-force-bookend/,"Wed, 01 May 2019 12:04:58 +0000"
https://www.uselessthingstobuy.com/product/runny-nose-funny-soap-dispenser/,"Thu, 02 May 2019 16:35:25 +0000"
https://www.uselessthingstobuy.com/product/prime-55-gallon-drum-of-lube/,"Thu, 02 May 2019 16:46:27 +0000"
https://www.uselessthingstobuy.com/product/farting-piggy-bank/,"Sat, 04 May 2019 14:04:39 +0000"
https://www.uselessthingstobuy.com/product/banana-phone-handset/,"Sat, 04 May 2019 14:18:24 +0000"
https://www.uselessthingstobuy.com/product/ben-jerrys-ice-cream-lock/,"Sat, 04 May 2019 14:43:30 +0000"
https://www.uselessthingstobuy.com/product/cooking-with-coolio-recipes/,"Sun, 05 May 2019 11:34:53 +0000"
https://www.uselessthingstobuy.com/product/the-best-fake-college-degree/,"Sun, 05 May 2019 14:41:02 +0000"
https://www.uselessthingstobuy.com/product/4-sets-of-lightsaber-glowing-chopsticks/,"Tue, 07 May 2019 14:34:25 +0000"
https://www.uselessthingstobuy.com/product/booty-pillow/,"Tue, 07 May 2019 14:55:28 +0000"
https://www.uselessthingstobuy.com/product/canadians-are-magical/,"Tue, 07 May 2019 15:18:02 +0000"
https://www.uselessthingstobuy.com/product/penis-water-gun/,"Tue, 14 May 2019 15:50:47 +0000"
https://www.uselessthingstobuy.com/product/shawty-u-fine-bear/,"Wed, 22 May 2019 09:42:46 +0000"
https://www.uselessthingstobuy.com/product/meow-book-for-cats/,"Wed, 22 May 2019 09:56:19 +0000"
https://www.uselessthingstobuy.com/product/the-lunar-moon-levitating-lamp/,"Wed, 22 May 2019 17:58:03 +0000"
https://www.uselessthingstobuy.com/product/joke-hand-sanitizer/,"Wed, 22 May 2019 18:13:49 +0000"
https://www.uselessthingstobuy.com/product/unicorn-finger-puppet/,"Wed, 22 May 2019 18:31:13 +0000"
https://www.uselessthingstobuy.com/product/the-extraordinary-book-of-useless-information-the-most-fascinating-facts-that-dont-really-matter/,"Thu, 30 May 2019 13:17:57 +0000"
https://www.uselessthingstobuy.com/product/american-flag-casual-summer-suit/,"Sat, 01 Jun 2019 13:04:04 +0000"
https://www.uselessthingstobuy.com/product/can-of-whoopass-for-sale/,"Mon, 03 Jun 2019 09:33:41 +0000"
https://www.uselessthingstobuy.com/product/american-flag-beer-pong-float/,"Tue, 11 Jun 2019 17:08:56 +0000"
https://www.uselessthingstobuy.com/product/abraham-lincoln-four-score-t-shirt/,"Tue, 11 Jun 2019 17:23:37 +0000"
https://www.uselessthingstobuy.com/product/six-pack-usa-beer-belt/,"Wed, 12 Jun 2019 12:11:24 +0000"
https://www.uselessthingstobuy.com/product/rave-kaleidoscope-glasses/,"Wed, 12 Jun 2019 12:59:32 +0000"
https://www.uselessthingstobuy.com/product/dad-bag-belly-fanny-pack/,"Tue, 10 Sep 2019 22:09:54 +0000"
https://www.uselessthingstobuy.com/product/toilet-with-led-light/,"Tue, 10 Sep 2019 22:18:35 +0000"
https://www.uselessthingstobuy.com/product/flip-flops-with-fake-grass/,"Tue, 10 Sep 2019 22:26:25 +0000"
https://www.uselessthingstobuy.com/product/madagascar-hissing-cockroach-for-sale/,"Fri, 13 Sep 2019 12:42:09 +0000"
https://www.uselessthingstobuy.com/product/a-bag-of-unicorn-farts/,"Fri, 13 Sep 2019 13:34:18 +0000"
https://www.uselessthingstobuy.com/product/sensory-putty-semen-fidget-toy/,"Fri, 13 Sep 2019 13:40:45 +0000"
https://www.uselessthingstobuy.com/product/star-wars-windshield-sun-shade/,"Fri, 13 Sep 2019 14:46:38 +0000"
https://www.uselessthingstobuy.com/product/2-mugs-fondue-set-will-it-fondue/,"Sat, 14 Sep 2019 08:51:41 +0000"
https://www.uselessthingstobuy.com/product/jar-of-nothing/,"Sat, 14 Sep 2019 10:33:35 +0000"
https://www.uselessthingstobuy.com/product/white-pee-and-poop-stained-pants/,"Sat, 14 Sep 2019 12:53:52 +0000"
https://www.uselessthingstobuy.com/product/prank-engagement-ring-box/,"Sat, 14 Sep 2019 21:57:00 +0000"
https://www.uselessthingstobuy.com/product/finger-baby-hands/,"Mon, 16 Sep 2019 08:30:46 +0000"
https://www.uselessthingstobuy.com/product/toilet-bowl-coffee-mug/,"Tue, 17 Sep 2019 12:41:00 +0000"
https://www.uselessthingstobuy.com/product/electric-foot-warmer-massager/,"Tue, 17 Sep 2019 13:08:57 +0000"
https://www.uselessthingstobuy.com/product/usb-can-cooler/,"Tue, 17 Sep 2019 13:44:49 +0000"
https://www.uselessthingstobuy.com/product/offensive-pencils/,"Tue, 17 Sep 2019 14:01:56 +0000"
https://www.uselessthingstobuy.com/product/rubber-chicken-finger-slingshot/,"Tue, 17 Sep 2019 14:28:23 +0000"
https://www.uselessthingstobuy.com/product/undies-for-two/,"Tue, 17 Sep 2019 21:45:40 +0000"
https://www.uselessthingstobuy.com/product/beardaments-beard-ornaments/,"Tue, 17 Sep 2019 22:39:47 +0000"
https://www.uselessthingstobuy.com/product/mini-golden-poo/,"Sun, 22 Sep 2019 14:58:13 +0000"
https://www.uselessthingstobuy.com/product/monarch-butterfly-dog-costume/,"Mon, 30 Sep 2019 19:43:11 +0000"
https://www.uselessthingstobuy.com/product/the-wisdom-of-nicolas-cage/,"Mon, 30 Sep 2019 21:04:45 +0000"
https://www.uselessthingstobuy.com/product/baby-burrito-wrap-blanket/,"Mon, 30 Sep 2019 21:28:26 +0000"
https://www.uselessthingstobuy.com/product/mini-grocery-items/,"Fri, 04 Oct 2019 07:09:09 +0000"
https://www.uselessthingstobuy.com/product/tamagotchi-5-virtual-pet/,"Fri, 04 Oct 2019 07:28:04 +0000"
https://www.uselessthingstobuy.com/product/usb-hand-warmer/,"Fri, 04 Oct 2019 07:52:49 +0000"
