,URL,Clicks,Impressions,CTR,Position
48,['https://www.uselessthingstobuy.com/product/dinosaur-neon-light-display-neon-bar-lamp/'],15.0,7268.0,0.0020638414969730325,20.98362685745735
49,['https://www.uselessthingstobuy.com/product/sensory-putty-semen-fidget-toy/'],15.0,1399.0,0.010721944245889922,32.55110793423874
50,['https://www.uselessthingstobuy.com/product/the-rose-wine-bottle-pool-float/'],15.0,2105.0,0.007125890736342043,21.524465558194773
51,['https://www.uselessthingstobuy.com/product/game-of-thrones-socks/'],14.0,1699.0,0.00824014125956445,29.971748087110065
52,['https://www.uselessthingstobuy.com/product/nicolas-cage-christmas-stocking-nicolas-cage-sequin-galore/'],14.0,2057.0,0.006806028196402528,41.38988818667963
53,['https://www.uselessthingstobuy.com/product/the-wisdom-of-nicolas-cage/'],14.0,630.0,0.022222222222222223,34.13492063492063
54,['https://www.uselessthingstobuy.com/product/farting-piggy-bank/'],13.0,1908.0,0.006813417190775681,18.104297693920337
55,['https://www.uselessthingstobuy.com/product/best-mini-camera-wifi/'],12.0,5398.0,0.002223045572434235,57.141163393849574
56,['https://www.uselessthingstobuy.com/product/raw-joint-dog-toy/'],12.0,511.0,0.023483365949119372,20.94911937377691
57,['https://www.uselessthingstobuy.com/product/4-sets-of-lightsaber-glowing-chopsticks/'],11.0,2602.0,0.004227517294388932,49.2217524980784
58,['https://www.uselessthingstobuy.com/product/because-kids-wine-glass/'],11.0,1953.0,0.0056323604710701485,11.314388120839734
59,['https://www.uselessthingstobuy.com/product/electric-foot-warmer-massager/'],11.0,2393.0,0.00459674049310489,52.74049310488926
60,['https://www.uselessthingstobuy.com/product/the-big-baguette-shaped-pillow/'],11.0,2394.0,0.004594820384294068,22.664578111946533
61,['https://www.uselessthingstobuy.com/product/dog-wig-fashionable-blonde-wig-for-dogs/'],10.0,8863.0,0.001128286133363421,6.964233329572379
62,['https://www.uselessthingstobuy.com/product/lie-detector-game/'],10.0,5707.0,0.0017522340984755564,42.54792360259331
63,['https://www.uselessthingstobuy.com/product/mini-closed-terrarium-keychain/'],10.0,432.0,0.023148148148148147,35.011574074074076
64,['https://www.uselessthingstobuy.com/product/toilet-bowl-coffee-mug/'],10.0,2844.0,0.0035161744022503515,23.336849507735582
65,['https://www.uselessthingstobuy.com/product/silver-morse-code-bracelet-funny-morse-code-phrase/'],9.0,900.0,0.01,60.083333333333336
66,['https://www.uselessthingstobuy.com/product/beer-pong-on-fire-game-variation/'],8.0,1319.0,0.006065200909780136,35.095526914329035
67,['https://www.uselessthingstobuy.com/product/canned-wifi/'],8.0,254.0,0.031496062992125984,11.374015748031496
68,['https://www.uselessthingstobuy.com/product/diy-back-shaver-for-back-hair-removal/'],8.0,26314.0,0.0003040206734057916,60.376263585923844
69,['https://www.uselessthingstobuy.com/product/nicolas-cage-sequence-pillow-case/'],8.0,2604.0,0.0030721966205837174,20.182411674347158
70,['https://www.uselessthingstobuy.com/product/owl-vomit/'],8.0,9576.0,0.000835421888053467,7.264724310776942
